depth,spp,torque,flow
1404.5349999999999,23181.9666565283,10.4533563816351,4453.12082268
1405.5125,23223.7488857249,10.494030920085,4453.12082268
1406.5,23266.2895382237,10.6296127149182,4453.12082268
1407.469,23312.9670450985,10.3042164073186,4453.12082268
1408.484,23322.688652881803,10.5753799969849,4453.12082268
1409.691,23071.926330129303,9.083980253820382,4453.12082268
1410.3384999999998,22949.406493029703,6.84688063907357,4453.12082268
1411.512,22979.70895133315,7.42988235685608,4453.12082268
1412.516,22976.9855222024,7.660371408072409,4453.12082268
1413.493,22984.8455455166,7.734941395230639,4453.12082268
1414.415,23053.586275729504,7.63325504910579,4453.12082268
1415.4789999999998,22982.708170755697,7.68748776703904,4453.12082268
1416.5430000000001,21337.343290314,7.93153499773869,4206.917626199999
1417.442,23018.216170815496,8.10779133102178,4453.12082268
1418.533,22613.6662866388,8.284047664304861,4376.46622968
1419.4595,21228.199282363144,8.094233151538461,4311.2057268
1420.517,22956.7838833334,8.229814946371599,4453.12082268
1421.5259999999998,22912.243751219503,8.12134951050509,4453.12082268
1422.5020000000002,22950.7164969154,8.067116792571829,4453.12082268
1423.5335,22934.927502714,8.35183856172143,4453.12082268
1424.437,22945.1317435079,7.9450931772220095,4453.12082268
1425.665,22917.070081324702,8.60944397190439,4453.12082268
1426.434,22894.3173822573,7.7417204849723,4453.12082268
1427.506,22908.1758444165,8.324722202754801,4453.12082268
1428.48,22942.4427881636,7.714604126005669,4453.12082268
1429.492,22941.4775221425,7.97220953618864,4453.12082268
1430.509,22911.761118209,7.98576771567195,4453.12082268
1431.53,22856.3962171448,8.229814946371599,4453.12082268
1432.554,22860.0504385102,8.94839845898724,4453.12082268
1433.505,22820.957164657997,7.53834779272259,4453.12082268
1434.6845,17906.925746671,7.87052319006378,3856.35062088
1435.4665,19322.488366531397,8.16202404895503,4098.654843
1436.513,19350.7568714334,8.12134951050509,4098.654843
1437.449,19292.9788053166,9.07042207433707,4098.654843
1438.5115,23022.2840776185,8.067116792571829,4430.97616248
1439.4625,21641.264191796898,8.473862177071249,4303.33206984
1440.459,22917.34587161645,8.67723486932096,4430.97616248
1441.524,22910.4511143233,7.8366277413555006,4430.97616248
1442.4535,22880.5623414574,8.18914040792166,4430.97616248
1443.533,21034.1118645604,8.20269858740497,4200.14173872
1444.5735,20875.3256040988,9.8703546638526,4200.74740464
1445.4625,22877.3562793161,9.558516535736368,4430.97616248
1446.5030000000002,22873.702057950697,8.636560330871019,4430.97616248
1447.632,22865.8420346365,9.84323830488597,4430.97616248
1448.5895,22845.2956579028,7.687487767039039,4430.97616248
1449.5295,22850.6046210186,8.785700305187481,4430.97616248
1450.464,22847.5709278096,7.673929587555731,4430.97616248
1451.4925,22860.6020190937,9.81612194591934,4430.97616248
1452.491,22860.464123947797,8.66367668983765,4430.97616248
1453.533,22878.804178347596,9.450051099869858,4430.97616248
1454.5135,22864.152819099647,8.96195663847056,4430.97616248
1455.4095,22883.9752463175,9.721214689536142,4430.97616248
1456.49,22882.6652424318,10.4397982021518,4430.97616248
1457.5379999999998,22864.5320307508,9.558516535736368,4430.97616248
1458.41,22837.9872151721,10.0059364586857,4430.97616248
1459.4965,22835.8498404112,9.05686389485376,4430.97616248
1460.5484999999999,22819.819529704597,9.63986561263626,4430.97616248
1461.458,22847.8467181013,9.897471022819222,4430.97616248
1462.516,22834.4708889526,9.46360927935318,4430.97616248
1463.601,22864.394135604904,8.50097853603788,4430.97616248
1464.5,22809.0292345408,10.3313327662853,4430.97616248
1465.484,22833.4366753586,9.61274925366963,4430.97616248
