********************************************************************************

Well:		BILABRI D2
Path:		Original Path
Hole:		
Start:		418.90(m)
End:			1624.00(m)
Date/Time:	Saturday, August 05, 2006 /05:57:27
********************************************************************************


DEPTH                   TCDX                    ROP_AVG                 GR1AX                   RACLX                   RPCHX                   
m                       degF                    m/hr                    API                     ohm.m                   ohm.m                   

431.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
432.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
432.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
432.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
432.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
432.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
432.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
432.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
432.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
432.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
432.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
433.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
433.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
433.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
433.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
433.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
433.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
433.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
433.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
433.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
433.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
434.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
434.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
434.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
434.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
434.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
434.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
434.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
434.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
434.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
434.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
435.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
435.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
435.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
435.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
435.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
435.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
435.60                  -999.25                 -999.25                 -999.25                 -999.25                 0.720                   
435.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
435.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
435.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
