********************************************************************************

Well:		Bilabri D3
Path:		Original Path
Hole:		Original Path Hole
Start:		262.00(m)
End:			841.00(m)
Date/Time:	Wednesday, October 11, 2006 /19:13:48
********************************************************************************


DEPTH                   TVD                     ROP_AVG                 GR1AX                   RACLX                   RPCHX                   TCDX                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   degF                    

275.80                  275.84                  17.10                   -999.25                 -999.25                 -999.25                 -999.25                 
275.90                  275.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
276.00                  276.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
276.10                  276.15                  16.67                   -999.25                 -999.25                 -999.25                 -999.25                 
276.20                  276.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
276.30                  276.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
276.40                  276.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
276.50                  276.45                  15.67                   -999.25                 -999.25                 -999.25                 -999.25                 
276.60                  276.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
276.70                  276.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
276.80                  276.76                  15.59                   -999.25                 -999.25                 -999.25                 -999.25                 
276.90                  276.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
277.00                  277.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
277.10                  277.06                  16.18                   -999.25                 -999.25                 -999.25                 -999.25                 
277.20                  277.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
277.30                  277.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
277.40                  277.37                  18.67                   -999.25                 -999.25                 -999.25                 -999.25                 
277.50                  277.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
277.60                  277.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
277.70                  277.67                  19.30                   -999.25                 -999.25                 -999.25                 -999.25                 
277.80                  277.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
277.90                  277.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
278.00                  277.98                  21.34                   -999.25                 -999.25                 -999.25                 -999.25                 
278.10                  278.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
278.20                  278.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
278.30                  278.28                  23.68                   -999.25                 -999.25                 -999.25                 -999.25                 
