
DEPTH                   TVD                     ROP_AVG                 GRAM                    RACLM                   RPCLM                   RACHM                   RPCHM                   TCDM                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   ohm.m                   ohm.m                   degF                    

1817.75                 1817.71                 15.67                   59.7                    0.622                   0.659                   0.401                   0.467                   182.1                   
1818.00                 1817.89                 19.55                   45.2                    0.608                   0.635                   0.343                   0.386                   182.3                   
1818.25                 1818.02                 22.51                   35.2                    0.598                   0.629                   0.313                   0.352                   182.6                   
1818.50                 1818.32                 18.55                   36.2                    0.608                   0.634                   0.373                   0.428                   182.9                   
1818.75                 1818.63                 16.84                   37.3                    0.718                   0.745                   0.636                   0.622                   183.2                   
1819.00                 1818.93                 22.62                   37.0                    0.704                   0.709                   0.621                   0.584                   183.4                   
1819.25                 1819.24                 20.26                   39.5                    0.746                   0.767                   0.659                   0.660                   183.6                   
1819.50                 1819.39                 19.09                   38.3                    0.782                   0.870                   0.757                   0.743                   183.6                   
1819.75                 1819.54                 17.87                   48.3                    0.740                   0.764                   0.651                   0.642                   183.6                   
1820.00                 1819.85                 15.60                   66.9                    0.692                   0.701                   0.558                   0.535                   183.6                   
1820.25                 1820.15                 16.77                   56.2                    0.660                   0.671                   0.516                   0.469                   183.6                   
1820.50                 1820.46                 13.80                   40.3                    0.644                   0.653                   0.489                   0.428                   181.4                   
1820.75                 1820.64                 13.04                   40.1                    0.642                   0.649                   0.507                   0.460                   179.6                   
1821.00                 1820.76                 12.51                   42.7                    0.665                   0.689                   0.512                   0.481                   177.8                   
1821.25                 1821.07                 10.26                   44.6                    0.664                   0.709                   0.473                   0.488                   176.4                   
1821.50                 1821.37                 8.99                    44.6                    0.670                   0.709                   0.555                   0.566                   185.2                   
1821.75                 1821.68                 7.01                    39.8                    0.673                   0.710                   0.538                   0.548                   187.0                   
1822.00                 1821.98                 6.79                    41.0                    0.675                   0.711                   0.522                   0.531                   187.0                   
1822.25                 1822.14                 7.76                    39.0                    0.669                   0.719                   0.486                   0.486                   187.0                   
1822.50                 1822.28                 8.70                    41.6                    0.672                   0.723                   0.499                   0.484                   187.0                   
1822.75                 1822.59                 8.66                    43.6                    0.666                   0.726                   0.446                   0.423                   187.0                   
1823.00                 1822.89                 11.76                   41.0                    0.659                   0.730                   0.429                   0.408                   187.0                   
1823.25                 1823.20                 15.04                   48.8                    0.668                   0.733                   0.494                   0.505                   187.0                   
1823.50                 1823.50                 83.74                   43.5                    0.653                   0.711                   0.496                   0.554                   187.0                   
1823.75                 1823.64                 63.67                   52.2                    0.602                   0.629                   0.316                   0.297                   187.0                   
1824.00                 1823.81                 37.25                   46.4                    0.599                   0.632                   0.399                   0.397                   187.0                   
1824.25                 1824.14                 41.76                   41.1                    0.590                   0.589                   0.544                   0.550                   187.0                   
1824.50                 1824.42                 45.67                   37.3                    0.593                   0.599                   0.503                   0.509                   187.0                   
1824.75                 1824.72                 41.49                   30.2                    0.586                   0.633                   0.389                   0.370                   187.0                   
1825.00                 1824.89                 37.18                   28.9                    0.578                   0.634                   0.317                   0.381                   187.0                   
1825.25                 1825.03                 33.39                   29.8                    0.589                   0.628                   0.333                   0.427                   187.0                   
1825.50                 1825.33                 17.85                   30.8                    0.634                   0.608                   0.545                   0.574                   187.0                   
1825.75                 1825.64                 0.91                    27.2                    0.717                   0.738                   0.562                   0.645                   183.0                   
1826.00                 1825.94                 5.84                    26.7                    0.866                   1.016                   0.804                   0.924                   173.1                   
1826.25                 1826.25                 8.07                    28.9                    0.912                   0.998                   0.847                   0.921                   173.1                   
1826.50                 1826.39                 9.44                    61.6                    0.903                   0.905                   0.841                   0.790                   175.8                   
1826.75                 1826.55                 11.08                   83.9                    0.838                   0.811                   0.733                   0.685                   176.4                   
1827.00                 1826.86                 11.80                   86.8                    0.792                   0.791                   0.693                   0.673                   176.4                   
1827.25                 1827.16                 10.86                   78.0                    0.716                   0.722                   0.639                   0.612                   176.4                   
1827.50                 1827.47                 8.81                    70.1                    0.659                   0.639                   0.584                   0.544                   176.4                   
1827.75                 1827.64                 8.38                    66.9                    0.650                   0.622                   0.558                   0.491                   176.4                   
1828.00                 1827.77                 8.03                    64.6                    0.645                   0.673                   0.602                   0.573                   176.4                   
1828.25                 1828.08                 8.43                    54.3                    0.629                   0.654                   0.492                   0.526                   176.4                   
1828.50                 1828.38                 9.11                    53.1                    0.611                   0.638                   0.578                   0.582                   176.7                   
1828.75                 1828.69                 10.10                   36.6                    0.547                   0.547                   0.490                   0.453                   178.1                   
1829.00                 1828.99                 9.76                    45.1                    0.547                   0.548                   0.477                   0.399                   180.1                   
1829.25                 1829.14                 10.55                   31.1                    0.531                   0.532                   0.480                   0.441                   180.1                   
1829.50                 1829.29                 11.40                   36.7                    0.531                   0.532                   0.480                   0.440                   180.1                   
1829.75                 1829.60                 12.69                   43.8                    0.531                   0.532                   0.479                   0.441                   180.1                   
1830.00                 1829.90                 14.80                   53.3                    0.531                   0.532                   0.478                   0.434                   180.1                   
1830.25                 1830.21                 16.72                   41.3                    0.530                   0.532                   0.476                   0.428                   180.1                   
1830.50                 1830.38                 14.57                   44.0                    0.530                   0.532                   0.475                   0.424                   180.1                   
1830.75                 1830.51                 12.99                   44.9                    0.529                   0.532                   0.465                   0.424                   180.0                   
1831.00                 1830.82                 2.92                    46.1                    0.564                   0.583                   0.470                   0.418                   179.1                   
1831.25                 1831.12                 16.05                   46.4                    0.583                   0.610                   0.534                   0.491                   179.0                   
1831.50                 1831.43                 37.54                   46.8                    0.573                   0.580                   0.521                   0.438                   178.8                   
1831.75                 1831.73                 60.21                   45.4                    0.573                   0.573                   0.508                   0.408                   178.7                   
1832.00                 1831.88                 76.35                   44.7                    0.562                   0.552                   0.523                   0.445                   178.6                   
1832.25                 1832.04                 92.57                   46.1                    0.535                   0.550                   0.441                   0.372                   178.5                   
1832.50                 1832.34                 150.09                  44.0                    0.536                   0.556                   0.436                   0.378                   178.2                   
1832.75                 1832.65                 55.40                   46.3                    0.612                   0.642                   0.526                   0.582                   177.2                   
1833.00                 1832.95                 29.97                   45.7                    0.630                   0.657                   0.568                   0.591                   176.7                   
1833.25                 1833.26                 32.29                   41.7                    0.630                   0.652                   0.561                   0.589                   176.7                   
1833.50                 1833.38                 29.63                   31.9                    0.622                   0.632                   0.546                   0.524                   180.1                   
1833.75                 1833.56                 25.95                   27.7                    0.611                   0.618                   0.519                   0.534                   180.1                   
1834.00                 1833.87                 0.81                    27.7                    0.618                   0.610                   0.527                   0.447                   178.0                   
1834.25                 1834.17                 5.99                    24.2                    0.612                   0.618                   0.531                   0.452                   176.4                   
1834.50                 1834.48                 10.05                   26.0                    0.632                   0.622                   0.530                   0.442                   176.4                   
1834.75                 1834.63                 14.27                   47.6                    0.614                   0.631                   0.524                   0.565                   177.7                   
1835.00                 1834.78                 18.16                   47.1                    0.606                   0.616                   0.514                   0.529                   178.7                   
1835.25                 1835.13                 17.74                   43.0                    0.606                   0.600                   0.536                   0.554                   178.9                   
1835.50                 1835.39                 17.43                   29.6                    0.627                   0.610                   0.584                   0.509                   179.2                   
1835.75                 1835.70                 32.37                   39.2                    0.637                   0.618                   0.553                   0.470                   179.4                   
1836.00                 1836.00                 38.18                   53.2                    0.626                   0.636                   0.539                   0.533                   179.6                   
1836.25                 1836.13                 36.99                   46.0                    0.604                   0.617                   0.457                   0.489                   179.8                   
1836.50                 1836.30                 35.49                   34.6                    0.614                   0.624                   0.550                   0.522                   179.8                   
1836.75                 1836.61                 33.83                   28.9                    0.613                   0.634                   0.572                   0.515                   179.8                   
1837.00                 1836.91                 32.32                   27.8                    0.638                   0.631                   0.536                   0.474                   180.0                   
1837.25                 1837.22                 51.92                   28.8                    0.610                   0.605                   0.523                   0.502                   180.1                   
1837.50                 1837.38                 38.31                   22.4                    0.621                   0.609                   0.524                   0.480                   180.1                   
1837.75                 1837.52                 26.87                   26.6                    0.638                   0.648                   0.560                   0.509                   176.3                   
1838.00                 1837.83                 27.76                   44.1                    0.652                   0.691                   0.551                   0.601                   173.1                   
1838.25                 1838.13                 40.47                   45.8                    0.651                   0.681                   0.554                   0.603                   173.3                   
1838.50                 1838.44                 58.78                   28.8                    0.647                   0.658                   0.531                   0.549                   174.0                   
1838.75                 1838.74                 25.53                   24.5                    0.652                   0.652                   0.543                   0.553                   174.6                   
1839.00                 1838.88                 26.44                   25.2                    0.646                   0.671                   0.546                   0.594                   175.3                   
1839.25                 1839.05                 27.48                   24.7                    0.647                   0.670                   0.523                   0.571                   176.0                   
1839.50                 1839.35                 29.45                   22.9                    0.646                   0.670                   0.476                   0.535                   176.4                   
1839.75                 1839.66                 32.32                   23.1                    0.648                   0.668                   0.498                   0.544                   176.4                   
1840.00                 1839.96                 32.63                   24.5                    0.651                   0.666                   0.531                   0.559                   176.4                   
1840.25                 1840.13                 31.59                   20.9                    0.648                   0.666                   0.504                   0.545                   176.4                   
1840.50                 1840.27                 30.79                   21.1                    0.647                   0.667                   0.491                   0.539                   176.4                   
1840.75                 1840.57                 31.05                   21.3                    0.645                   0.667                   0.531                   0.565                   176.4                   
1841.00                 1840.88                 37.52                   21.9                    0.644                   0.670                   0.523                   0.567                   176.4                   
1841.25                 1841.18                 51.86                   22.2                    0.642                   0.673                   0.512                   0.570                   176.4                   
1841.50                 1841.49                 88.92                   22.9                    0.646                   0.674                   0.525                   0.585                   176.4                   
1841.75                 1841.63                 102.13                  23.7                    0.650                   0.676                   0.537                   0.600                   176.4                   
1842.00                 1841.79                 116.06                  24.5                    0.653                   0.689                   0.542                   0.625                   176.4                   
1842.25                 1842.10                 135.80                  22.4                    0.654                   0.695                   0.544                   0.636                   176.4                   
1842.50                 1842.40                 146.69                  21.0                    0.655                   0.706                   0.547                   0.656                   176.4                   
1842.75                 1842.71                 152.53                  25.9                    0.654                   0.714                   0.546                   0.669                   176.4                   
1843.00                 1842.88                 158.37                  26.9                    0.653                   0.721                   0.545                   0.680                   176.4                   
1843.25                 1843.01                 162.46                  28.1                    0.654                   0.707                   0.545                   0.651                   176.4                   
1843.50                 1843.31                 173.67                  27.6                    0.654                   0.696                   0.545                   0.628                   176.4                   
1843.75                 1843.62                 151.50                  27.3                    0.656                   0.665                   0.557                   0.566                   176.4                   
1844.00                 1843.92                 145.48                  24.9                    0.656                   0.664                   0.533                   0.550                   176.4                   
1844.25                 1844.23                 141.17                  23.5                    0.656                   0.663                   0.488                   0.522                   176.4                   
1844.50                 1844.38                 228.55                  21.8                    0.657                   0.667                   0.507                   0.547                   176.4                   
1844.75                 1844.53                 312.78                  21.4                    0.659                   0.672                   0.527                   0.575                   176.4                   
1845.00                 1844.84                 181.95                  20.9                    0.659                   0.676                   0.545                   0.600                   176.4                   
1845.25                 1845.14                 173.29                  22.1                    0.661                   0.683                   0.549                   0.620                   176.4                   
1845.50                 1845.45                 159.79                  23.9                    0.662                   0.689                   0.553                   0.637                   176.4                   
1845.75                 1845.75                 151.59                  23.7                    0.662                   0.694                   0.556                   0.652                   176.4                   
1846.00                 1845.88                 202.10                  23.5                    0.663                   0.702                   0.551                   0.669                   176.4                   
1846.25                 1846.06                 268.93                  23.2                    0.664                   0.709                   0.547                   0.684                   176.4                   
1846.50                 1846.36                 382.06                  23.0                    0.669                   0.709                   0.568                   0.667                   176.4                   
1846.75                 1846.67                 259.47                  23.1                    0.674                   0.708                   0.590                   0.650                   176.4                   
1847.00                 1846.97                 243.00                  23.1                    0.679                   0.703                   0.588                   0.618                   176.4                   
1847.25                 1847.13                 241.43                  24.4                    0.685                   0.697                   0.586                   0.584                   176.4                   
1847.50                 1847.28                 240.04                  25.3                    0.684                   0.698                   0.571                   0.589                   176.4                   
1847.75                 1847.58                 215.60                  24.6                    0.683                   0.698                   0.562                   0.592                   176.4                   
1848.00                 1847.89                 208.57                  24.0                    0.679                   0.704                   0.591                   0.644                   176.4                   
1848.25                 1848.19                 178.09                  20.9                    0.680                   0.710                   0.580                   0.670                   176.4                   
1848.50                 1848.50                 188.58                  19.6                    0.680                   0.716                   0.570                   0.693                   176.4                   
1848.75                 1848.63                 179.97                  23.1                    0.679                   0.738                   0.585                   0.763                   176.4                   
1849.00                 1848.80                 169.56                  23.5                    0.678                   0.750                   0.593                   0.802                   176.4                   
1849.25                 1849.11                 179.10                  23.7                    0.688                   0.694                   0.589                   0.656                   176.4                   
1849.50                 1849.41                 170.15                  21.7                    0.686                   0.694                   0.611                   0.630                   176.4                   
1849.75                 1849.72                 148.31                  20.9                    0.673                   0.701                   0.572                   0.624                   176.4                   
1850.00                 1849.88                 150.71                  23.7                    0.666                   0.683                   0.569                   0.621                   176.4                   
1850.25                 1850.02                 152.65                  25.2                    0.654                   0.664                   0.513                   0.528                   177.4                   
1850.50                 1850.32                 158.18                  21.6                    0.633                   0.658                   0.426                   0.450                   178.0                   
1850.75                 1850.63                 156.80                  24.0                    0.636                   0.671                   0.445                   0.460                   178.6                   
1851.00                 1850.93                 89.62                   22.4                    0.645                   0.685                   0.521                   0.519                   179.4                   
1851.25                 1851.24                 47.16                   23.4                    0.636                   0.659                   0.647                   0.617                   179.7                   
1851.50                 1851.38                 41.09                   25.3                    0.602                   0.585                   0.587                   0.475                   180.1                   
1851.75                 1851.54                 34.38                   23.2                    0.582                   0.560                   0.550                   0.454                   180.1                   
1852.00                 1851.85                 33.20                   30.8                    0.556                   0.541                   0.532                   0.436                   180.1                   
1852.25                 1852.15                 28.11                   36.0                    0.567                   0.563                   0.535                   0.433                   180.1                   
1852.50                 1852.46                 31.62                   34.8                    0.574                   0.591                   0.529                   0.407                   180.1                   
1852.75                 1852.63                 30.16                   32.2                    0.590                   0.626                   0.582                   0.509                   180.1                   
1853.00                 1852.76                 29.08                   43.2                    0.602                   0.628                   0.623                   0.564                   180.1                   
1853.25                 1853.07                 30.77                   42.5                    0.585                   0.587                   0.549                   0.494                   180.1                   
1853.50                 1853.37                 32.39                   31.3                    0.552                   0.552                   0.530                   0.448                   180.1                   
1853.75                 1853.68                 27.49                   30.4                    0.537                   0.545                   0.512                   0.450                   180.1                   
1854.00                 1853.98                 27.12                   30.8                    0.530                   0.546                   0.515                   0.387                   180.1                   
1854.25                 1854.13                 27.59                   35.3                    0.531                   0.544                   0.503                   0.347                   180.1                   
1854.50                 1854.29                 28.07                   30.8                    0.538                   0.562                   0.494                   0.396                   180.1                   
1854.75                 1854.59                 30.72                   31.8                    0.550                   0.570                   0.466                   0.370                   180.1                   
1855.00                 1854.90                 37.26                   32.8                    0.564                   0.561                   0.440                   0.356                   180.1                   
1855.25                 1855.20                 28.20                   41.7                    0.601                   0.592                   0.540                   0.366                   180.1                   
1855.50                 1855.51                 31.55                   45.6                    0.637                   0.669                   0.661                   0.553                   180.1                   
1855.75                 1855.63                 31.87                   55.5                    0.653                   0.628                   0.601                   0.501                   180.1                   
1856.00                 1855.81                 32.32                   79.7                    0.666                   0.651                   0.653                   0.585                   180.1                   
1856.25                 1856.12                 36.25                   81.1                    0.681                   0.673                   0.735                   0.678                   180.1                   
1856.50                 1856.42                 33.97                   79.1                    0.687                   0.661                   0.667                   0.589                   180.1                   
1856.75                 1856.73                 38.84                   85.3                    0.693                   0.660                   0.667                   0.581                   180.1                   
1857.00                 1856.88                 37.43                   98.1                    0.714                   0.688                   0.695                   0.622                   180.1                   
1857.25                 1857.03                 36.13                   84.9                    0.763                   0.763                   0.775                   0.712                   180.1                   
1857.50                 1857.33                 38.69                   90.4                    0.784                   0.750                   0.760                   0.697                   180.1                   
1857.75                 1857.64                 35.86                   94.6                    0.828                   0.780                   0.821                   0.722                   180.1                   
1858.00                 1857.94                 27.15                   96.0                    0.849                   0.827                   0.858                   0.794                   180.1                   
1858.25                 1858.25                 23.97                   91.7                    0.874                   0.856                   0.886                   0.825                   180.5                   
1858.50                 1858.38                 23.67                   98.7                    0.886                   0.838                   0.873                   0.788                   182.2                   
1858.75                 1858.55                 23.28                   99.0                    0.892                   0.848                   0.876                   0.804                   183.2                   
1859.00                 1858.86                 22.92                   96.7                    0.903                   0.852                   0.877                   0.804                   183.2                   
1859.25                 1859.16                 18.42                   94.3                    0.920                   0.876                   0.902                   0.820                   183.4                   
1859.50                 1859.47                 18.81                   96.6                    0.855                   0.846                   0.847                   0.810                   183.4                   
1859.75                 1859.63                 18.86                   98.5                    0.854                   0.846                   0.847                   0.810                   183.4                   
1860.00                 1859.77                 18.91                   94.2                    0.786                   0.737                   0.798                   0.727                   183.6                   
1860.25                 1860.08                 19.08                   101.4                   0.784                   0.738                   0.783                   0.712                   183.6                   
1860.50                 1860.38                 20.64                   101.0                   0.779                   0.739                   0.748                   0.675                   183.4                   
1860.75                 1860.69                 21.07                   100.2                   0.795                   0.754                   0.755                   0.692                   183.6                   
1861.00                 1860.99                 0.30                    94.0                    0.828                   0.783                   0.770                   0.725                   183.6                   
1861.25                 1861.13                 1.94                    85.7                    0.831                   0.785                   0.801                   0.724                   183.6                   
1861.50                 1861.30                 3.83                    88.7                    0.868                   0.832                   0.862                   0.779                   183.6                   
1861.75                 1861.60                 8.94                    92.1                    0.930                   0.873                   0.922                   0.821                   183.6                   
1862.00                 1861.91                 33.00                   98.8                    0.930                   0.873                   0.922                   0.821                   183.6                   
1862.25                 1862.21                 62.83                   98.2                    0.930                   0.874                   0.922                   0.821                   183.6                   
1862.50                 1862.38                 88.99                   90.8                    0.930                   0.874                   0.922                   0.821                   183.6                   
1862.75                 1862.52                 109.19                  93.0                    0.930                   0.874                   0.922                   0.821                   183.6                   
1863.00                 1862.82                 132.25                  94.6                    0.930                   0.874                   0.922                   0.821                   183.6                   
1863.25                 1863.13                 136.07                  93.4                    0.930                   0.874                   0.922                   0.821                   183.6                   
1863.50                 1863.43                 68.01                   92.3                    0.930                   0.873                   0.922                   0.821                   180.1                   
1863.75                 1863.74                 33.00                   91.6                    0.928                   0.878                   0.917                   0.825                   180.1                   
1864.00                 1863.88                 42.27                   94.7                    0.928                   0.881                   0.906                   0.826                   180.1                   
1864.25                 1864.04                 52.09                   93.2                    0.931                   0.892                   0.914                   0.816                   180.1                   
1864.50                 1864.34                 149.03                  92.6                    0.889                   0.828                   0.868                   0.770                   180.1                   
1864.75                 1864.65                 101.64                  97.9                    0.857                   0.794                   0.837                   0.734                   180.1                   
1865.00                 1864.95                 162.12                  94.8                    0.850                   0.798                   0.837                   0.739                   180.1                   
1865.25                 1865.13                 185.38                  90.2                    0.844                   0.790                   0.828                   0.740                   180.1                   
1865.50                 1865.26                 201.77                  85.5                    0.848                   0.784                   0.822                   0.732                   180.1                   
1865.75                 1865.56                 102.05                  94.2                    0.882                   0.816                   0.853                   0.748                   180.1                   
1866.00                 1865.87                 76.52                   97.7                    0.905                   0.890                   0.908                   0.870                   180.1                   
1866.25                 1866.17                 53.97                   95.2                    0.920                   0.907                   0.933                   0.883                   180.1                   
1866.50                 1866.48                 49.19                   97.8                    0.932                   0.909                   0.942                   0.872                   180.1                   
1866.75                 1866.63                 46.25                   100.2                   0.937                   0.902                   0.938                   0.875                   180.1                   
1867.00                 1866.78                 43.41                   95.2                    0.941                   0.867                   0.921                   0.811                   180.1                   
1867.25                 1867.09                 33.59                   96.4                    0.939                   0.874                   0.911                   0.823                   180.1                   
1867.50                 1867.39                 28.98                   92.3                    0.945                   0.868                   0.905                   0.810                   180.1                   
1867.75                 1867.70                 27.73                   92.8                    0.946                   0.853                   0.895                   0.771                   180.1                   
1868.00                 1868.00                 28.03                   97.2                    0.942                   0.856                   0.887                   0.774                   180.1                   
1868.25                 1868.13                 29.24                   103.9                   0.944                   0.870                   0.886                   0.791                   180.1                   
1868.50                 1868.31                 30.84                   102.3                   0.954                   0.890                   0.894                   0.804                   180.1                   
1868.75                 1868.61                 28.52                   104.0                   0.959                   0.906                   0.909                   0.825                   180.1                   
1869.00                 1868.92                 30.99                   105.5                   0.972                   0.925                   0.935                   0.866                   180.7                   
1869.25                 1869.22                 29.57                   104.7                   0.981                   0.914                   0.935                   0.828                   181.6                   
