
DEPTH                   TVD                     ROP_AVG                 GRAM                    RACLM                   RPCLM                   RACHM                   RPCHM                   TCDM                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   ohm.m                   ohm.m                   degF                    

874.25                  874.16                  155.84                  57.9                    0.828                   0.732                   0.783                   0.697                   154.4                   
874.50                  874.46                  179.41                  59.1                    0.821                   0.726                   0.772                   0.684                   154.3                   
874.75                  874.77                  204.72                  61.1                    0.815                   0.720                   0.761                   0.673                   154.3                   
875.00                  875.07                  226.75                  62.0                    0.811                   0.716                   0.754                   0.665                   154.2                   
875.25                  875.24                  220.11                  63.9                    0.809                   0.720                   0.755                   0.669                   154.2                   
875.50                  875.38                  214.79                  65.7                    0.808                   0.722                   0.756                   0.672                   154.1                   
875.75                  875.68                  233.54                  66.6                    0.806                   0.725                   0.757                   0.674                   154.0                   
876.00                  875.98                  244.62                  67.7                    0.809                   0.730                   0.760                   0.677                   154.0                   
876.25                  876.29                  264.42                  68.6                    0.811                   0.735                   0.762                   0.679                   153.9                   
876.50                  876.59                  231.96                  68.4                    0.813                   0.740                   0.764                   0.681                   153.9                   
876.75                  876.74                  240.48                  68.2                    0.815                   0.743                   0.766                   0.682                   153.8                   
877.00                  876.90                  249.86                  68.0                    0.845                   0.831                   0.846                   0.804                   153.8                   
877.25                  877.20                  265.97                  67.6                    0.871                   0.878                   0.888                   0.882                   153.7                   
877.50                  877.51                  272.98                  73.9                    0.877                   0.865                   0.889                   0.870                   153.6                   
877.75                  877.81                  294.99                  91.8                    0.879                   0.859                   0.889                   0.864                   153.6                   
878.00                  877.99                  315.93                  104.3                   0.882                   0.854                   0.882                   0.821                   153.5                   
878.25                  878.12                  331.25                  108.9                   0.884                   0.850                   0.877                   0.789                   153.4                   
878.50                  878.42                  429.29                  107.2                   0.892                   0.842                   0.871                   0.777                   153.4                   
878.75                  878.73                  229.58                  105.1                   0.902                   0.847                   0.864                   0.767                   153.3                   
879.00                  879.03                  135.30                  103.0                   0.894                   0.905                   0.875                   0.804                   153.3                   
879.25                  879.34                  195.87                  109.0                   0.745                   0.730                   0.619                   0.600                   153.6                   
879.50                  879.49                  215.36                  108.4                   0.697                   0.682                   0.547                   0.540                   153.8                   
879.75                  879.64                  234.95                  59.9                    0.716                   0.716                   0.589                   0.595                   154.0                   
880.00                  879.95                  233.54                  29.5                    0.758                   0.767                   0.639                   0.668                   154.3                   
880.25                  880.25                  236.89                  41.2                    0.799                   0.800                   0.691                   0.691                   154.5                   
880.50                  880.56                  135.14                  34.7                    0.842                   0.845                   0.758                   0.759                   154.8                   
880.75                  880.86                  86.93                   45.5                    0.901                   0.944                   0.919                   0.925                   155.1                   
881.00                  880.99                  71.39                   36.9                    0.896                   0.933                   0.932                   0.907                   155.2                   
881.25                  881.17                  49.92                   25.9                    0.735                   0.707                   0.724                   0.682                   155.3                   
881.50                  881.47                  39.01                   22.8                    0.669                   0.630                   0.647                   0.600                   155.4                   
