********************************************************************************

Well:		BILABRI D4
Path:		Original Path
Hole:		
Start:		1200.00(m)
End:			1429.00(m)
Date/Time:	Monday, December 18, 2006 /02:35:00
********************************************************************************


DEPTH                   TVD                     ROP_AVG                 GR1AX                   RACLX                   RPCHX                   TCDX                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   degF                    

1278.00                 1278.00                 41.03                   91.2                    0.895                   0.881                   135.6                   
1278.25                 1278.30                 39.12                   94.4                    0.922                   0.902                   135.6                   
1278.50                 1278.47                 43.00                   103.6                   0.941                   0.916                   135.7                   
1278.75                 1278.61                 46.13                   100.4                   0.965                   0.934                   135.7                   
1279.00                 1278.91                 47.11                   97.4                    0.976                   0.956                   135.8                   
1279.25                 1279.22                 37.96                   94.0                    0.990                   0.923                   135.8                   
1279.50                 1279.52                 34.87                   95.9                    0.997                   0.926                   135.9                   
1279.75                 1279.83                 33.26                   97.8                    1.006                   0.930                   135.9                   
1280.00                 1279.97                 29.86                   95.9                    1.016                   0.934                   136.0                   
1280.25                 1280.13                 26.10                   96.0                    1.022                   0.970                   136.0                   
1280.50                 1280.44                 21.92                   96.2                    1.025                   0.990                   136.0                   
1280.75                 1280.74                 18.13                   96.4                    1.026                   0.997                   136.1                   
1281.00                 1281.05                 20.47                   99.7                    1.027                   1.001                   136.1                   
1281.25                 1281.22                 18.73                   101.4                   1.027                   0.988                   136.2                   
1281.50                 1281.35                 17.44                   103.6                   1.026                   0.976                   136.2                   
1281.75                 1281.66                 17.81                   105.0                   1.026                   0.967                   136.3                   
1282.00                 1281.96                 26.67                   103.1                   1.029                   0.964                   136.3                   
1282.25                 1282.27                 31.85                   101.7                   1.031                   0.961                   136.4                   
1282.50                 1282.57                 35.74                   100.2                   1.033                   0.959                   136.4                   
1282.75                 1282.72                 37.68                   98.8                    1.036                   0.956                   136.4                   
1283.00                 1282.88                 39.64                   97.8                    1.037                   0.956                   136.5                   
1283.25                 1283.18                 34.88                   95.9                    1.038                   0.956                   136.5                   
1283.50                 1283.49                 33.95                   94.5                    1.039                   0.956                   136.6                   
1283.75                 1283.79                 29.48                   93.5                    1.036                   0.957                   136.6                   
1284.00                 1284.09                 26.95                   91.8                    1.031                   0.960                   136.7                   
1284.25                 1284.22                 25.23                   90.1                    1.026                   0.962                   136.7                   
1284.50                 1284.40                 22.83                   91.4                    1.022                   0.964                   136.8                   
1284.75                 1284.70                 19.50                   93.3                    1.015                   0.967                   136.8                   
1285.00                 1285.01                 21.23                   95.3                    1.026                   0.968                   136.8                   
1285.25                 1285.31                 22.74                   97.2                    1.046                   0.970                   136.9                   
1285.50                 1285.47                 22.56                   99.2                    1.066                   0.972                   136.9                   
1285.75                 1285.62                 22.40                   101.1                   1.086                   0.974                   137.0                   
1286.00                 1285.92                 22.93                   103.1                   1.106                   0.976                   137.0                   
1286.25                 1286.23                 19.65                   105.5                   1.125                   0.978                   137.1                   
1286.50                 1286.53                 18.79                   101.5                   1.374                   1.177                   137.1                   
1286.75                 1286.84                 18.72                   96.1                    1.608                   1.363                   137.2                   
1287.00                 1286.97                 17.69                   90.8                    1.926                   1.615                   137.2                   
1287.25                 1287.14                 16.39                   84.8                    2.666                   4.766                   137.2                   
1287.50                 1287.45                 16.34                   67.8                    3.819                   9.668                   137.2                   
1287.75                 1287.75                 16.80                   48.7                    5.158                   15.364                  137.2                   
1288.00                 1288.06                 27.88                   35.2                    9.521                   22.276                  137.2                   
1288.25                 1288.22                 27.52                   29.9                    14.727                  30.523                  137.2                   
