********************************************************************************

Well:		BILABRI D2
Path:		Original Path
Hole:		
Start:		418.75(m)
End:			1640.25(m)
Date/Time:	Saturday, August 05, 2006 /08:22:37
********************************************************************************


DEPTH                   TCDX                    ROP_AVG                 GR1AX                   RACLX                   RPCHX                   
m                       degF                    m/hr                    API                     ohm.m                   ohm.m                   

468.25                  88.3                    525.27                  -999.25                 -999.25                 -999.25                 
468.50                  -999.25                 496.75                  64.6                    -999.25                 -999.25                 
468.75                  -999.25                 529.48                  -999.25                 -999.25                 -999.25                 
469.00                  -999.25                 608.19                  -999.25                 0.825                   0.498                   
469.25                  -999.25                 -999.25                 -999.25                 0.818                   0.509                   
469.50                  -999.25                 736.44                  62.9                    -999.25                 -999.25                 
469.75                  -999.25                 817.62                  56.7                    -999.25                 -999.25                 
470.00                  -999.25                 727.52                  -999.25                 -999.25                 -999.25                 
470.25                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
470.50                  -999.25                 1286.50                 -999.25                 -999.25                 -999.25                 
470.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
471.00                  -999.25                 897.29                  -999.25                 -999.25                 -999.25                 
471.25                  -999.25                 917.49                  -999.25                 -999.25                 -999.25                 
471.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
471.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
472.00                  -999.25                 -999.25                 -999.25                 0.818                   -999.25                 
472.25                  -999.25                 3760.25                 -999.25                 -999.25                 -999.25                 
472.50                  -999.25                 2996.90                 -999.25                 -999.25                 0.426                   
472.75                  -999.25                 -999.25                 -999.25                 0.826                   0.762                   
473.00                  -999.25                 1943.56                 -999.25                 0.796                   0.797                   
473.25                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
473.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
473.75                  -999.25                 -999.25                 -999.25                 0.760                   0.390                   
474.00                  -999.25                 2459.59                 -999.25                 0.715                   0.569                   
474.25                  -999.25                 1911.72                 -999.25                 -999.25                 -999.25                 
474.50                  -999.25                 1659.81                 -999.25                 -999.25                 -999.25                 
474.75                  -999.25                 -999.25                 -999.25                 0.676                   0.234                   
475.00                  -999.25                 -999.25                 -999.25                 0.581                   0.216                   
475.25                  -999.25                 -999.25                 -999.25                 0.553                   0.205                   
475.50                  -999.25                 -999.25                 -999.25                 0.578                   0.254                   
475.75                  -999.25                 2726.52                 -999.25                 -999.25                 -999.25                 
476.00                  -999.25                 2211.91                 -999.25                 0.658                   0.319                   
476.25                  -999.25                 -999.25                 -999.25                 0.684                   0.333                   
476.50                  -999.25                 1715.95                 -999.25                 -999.25                 -999.25                 
476.75                  -999.25                 -999.25                 -999.25                 0.781                   0.370                   
477.00                  -999.25                 -999.25                 -999.25                 0.795                   0.366                   
477.25                  -999.25                 -999.25                 60.5                    -999.25                 -999.25                 
477.50                  -999.25                 -999.25                 -999.25                 0.739                   0.343                   
477.75                  -999.25                 -999.25                 -999.25                 0.701                   0.366                   
478.00                  -999.25                 2615.17                 42.8                    -999.25                 -999.25                 
478.25                  -999.25                 2170.95                 45.3                    0.675                   0.354                   
478.50                  -999.25                 1666.14                 -999.25                 0.655                   0.358                   
478.75                  -999.25                 -999.25                 44.1                    -999.25                 -999.25                 
479.00                  -999.25                 -999.25                 45.7                    -999.25                 -999.25                 
479.25                  -999.25                 1446.02                 -999.25                 0.675                   0.297                   
479.50                  -999.25                 -999.25                 -999.25                 0.721                   0.291                   
479.75                  -999.25                 1560.06                 42.8                    -999.25                 -999.25                 
480.00                  -999.25                 28.71                   42.0                    0.796                   0.316                   
480.25                  -999.25                 29.66                   -999.25                 0.809                   0.329                   
480.50                  -999.25                 -999.25                 50.8                    -999.25                 -999.25                 
480.75                  -999.25                 31.06                   56.7                    0.795                   0.666                   
481.00                  -999.25                 32.29                   -999.25                 0.786                   0.666                   
481.25                  -999.25                 31.36                   45.3                    -999.25                 -999.25                 
481.50                  -999.25                 29.75                   40.7                    0.806                   0.370                   
481.75                  -999.25                 -999.25                 -999.25                 0.809                   0.347                   
482.00                  -999.25                 28.18                   44.9                    -999.25                 -999.25                 
482.25                  -999.25                 27.40                   41.6                    0.831                   0.347                   
482.50                  -999.25                 27.46                   -999.25                 0.834                   0.370                   
482.75                  -999.25                 27.46                   44.1                    -999.25                 -999.25                 
483.00                  -999.25                 27.20                   43.2                    0.832                   0.291                   
483.25                  -999.25                 -999.25                 -999.25                 0.817                   0.269                   
483.50                  -999.25                 26.53                   38.2                    -999.25                 -999.25                 
483.75                  -999.25                 25.70                   40.7                    0.744                   0.247                   
484.00                  -999.25                 24.86                   -999.25                 0.683                   0.261                   
484.25                  -999.25                 24.78                   44.9                    -999.25                 -999.25                 
484.50                  -999.25                 -999.25                 50.8                    0.657                   0.238                   
484.75                  -999.25                 24.69                   -999.25                 0.665                   0.277                   
485.00                  -999.25                 24.76                   47.0                    -999.25                 -999.25                 
