********************************************************************************

Well:		BILABRI D2
Path:		Original Path
Hole:		Original Path Hole
Start:		1640.00(m)
End:			2913.00(m)
Date/Time:	Thursday, August 24, 2006 /15:59:50
********************************************************************************


DEPTH                   ROP_AVG                 GR1AX                   RACLX                   RPCHX                   NPLX                    BDCX                    DRHX                    TCDX                    TVD          
m                       m/hr                    API                     ohm.m                   ohm.m                   pu                      g/cc                    g/cc                    degF                    m          

1659.00                 30.12                   85.7                    0.760                   0.728                   59.61                   2.29                    0.06                    127.6                   1658.89                 
1659.25                 17.53                   85.8                    0.760                   0.737                   65.22                   2.30                    0.06                    127.7                   1659.14                 
1659.50                 20.42                   82.0                    0.760                   0.745                   70.83                   2.27                    0.06                    127.8                   1659.39                 
1659.75                 23.32                   84.5                    0.761                   0.754                   69.40                   2.27                    0.07                    127.9                   1659.64                 
1660.00                 26.51                   87.1                    0.920                   0.771                   67.97                   2.27                    0.09                    128.0                   1659.89                 
1660.25                 31.30                   89.6                    0.756                   0.737                   66.55                   2.27                    0.09                    128.1                   1660.14                 
1660.50                 29.92                   82.5                    0.759                   0.745                   65.12                   2.27                    0.09                    128.2                   1660.39                 
1660.75                 26.37                   81.6                    0.762                   0.754                   63.69                   2.27                    0.07                    128.3                   1660.64                 
1661.00                 27.71                   80.6                    0.763                   0.754                   62.26                   2.27                    0.06                    128.4                   1660.89                 
1661.25                 29.05                   79.7                    0.764                   0.754                   60.83                   2.28                    0.06                    128.4                   1661.14                 
1661.50                 32.92                   78.7                    0.763                   0.737                   59.40                   2.29                    0.06                    128.5                   1661.39                 
1661.75                 27.86                   97.1                    0.764                   0.732                   57.97                   2.29                    0.06                    128.6                   1661.64                 
1662.00                 30.52                   93.5                    0.764                   0.728                   56.54                   2.29                    0.06                    128.7                   1661.88                 
1662.25                 29.62                   89.9                    0.770                   1.139                   55.12                   2.29                    0.06                    128.8                   1662.13                 
1662.50                 28.71                   86.3                    0.776                   0.745                   53.69                   2.29                    0.06                    128.9                   1662.38                 
1662.75                 34.63                   92.6                    0.794                   0.771                   58.36                   2.30                    0.06                    129.0                   1662.63                 
1663.00                 34.28                   99.0                    0.759                   0.767                   63.03                   2.29                    0.06                    129.1                   1662.88                 
1663.25                 30.74                   97.8                    0.808                   0.762                   67.70                   2.29                    0.06                    129.2                   1663.13                 
1663.50                 18.90                   96.6                    0.848                   0.799                   65.17                   2.29                    0.06                    129.3                   1663.38                 
1663.75                 16.14                   101.8                   0.887                   0.835                   62.65                   2.28                    0.06                    129.4                   1663.63                 
1664.00                 13.39                   94.7                    0.927                   0.885                   60.13                   2.28                    0.06                    129.5                   1663.88                 
1664.25                 14.31                   94.7                    1.110                   1.113                   57.60                   2.28                    0.06                    129.6                   1664.13                 
1664.50                 0.00                    94.7                    1.011                   1.039                   55.08                   2.27                    0.06                    129.7                   1664.38                 
1664.75                 5.27                    94.7                    1.070                   1.165                   48.61                   2.29                    0.07                    129.8                   1664.63                 
1665.00                 8.54                    91.0                    1.122                   1.139                   46.29                   2.30                    0.09                    129.9                   1664.88                 
1665.25                 11.31                   94.7                    1.113                   1.089                   43.97                   2.31                    0.10                    129.9                   1665.13                 
1665.50                 14.08                   98.5                    1.103                   1.039                   41.65                   2.32                    0.12                    130.0                   1665.38                 
1665.75                 17.66                   97.8                    1.093                   1.051                   39.33                   2.32                    0.12                    130.1                   1665.63                 
1666.00                 29.97                   97.1                    1.092                   1.047                   43.97                   2.32                    0.11                    130.2                   1665.88                 
1666.25                 51.98                   96.4                    1.091                   1.043                   48.61                   2.32                    0.11                    130.3                   1666.13                 
1666.50                 59.30                   95.7                    1.091                   1.039                   47.32                   2.33                    0.10                    130.4                   1666.38                 
1666.75                 66.63                   91.7                    1.090                   1.051                   46.04                   2.90                    0.08                    130.5                   1666.63                 
1667.00                 44.47                   87.7                    1.089                   1.064                   44.75                   2.32                    0.06                    130.6                   1666.88                 
1667.25                 27.70                   89.2                    1.089                   1.076                   43.46                   2.32                    0.06                    130.7                   1667.13                 
1667.50                 12.59                   90.7                    1.091                   1.088                   42.17                   2.32                    0.06                    130.8                   1667.38                 
1667.75                 14.44                   92.2                    1.094                   1.088                   40.52                   2.33                    0.06                    130.9                   1667.63                 
1668.00                 13.34                   93.6                    1.097                   1.088                   38.88                   2.32                    0.06                    131.0                   1667.88                 
1668.25                 12.24                   95.1                    1.103                   1.082                   41.07                   2.32                    0.07                    131.1                   1668.13                 
1668.50                 11.89                   96.6                    1.109                   1.076                   43.26                   2.32                    0.07                    131.2                   1668.38                 
1668.75                 12.79                   95.1                    1.116                   1.101                   45.44                   2.32                    0.07                    131.3                   1668.63                 
1669.00                 13.20                   93.6                    1.123                   1.126                   47.63                   2.32                    0.07                    131.4                   1668.88                 
1669.25                 13.01                   92.0                    1.128                   1.126                   49.82                   2.32                    0.07                    131.5                   1669.13                 
1669.50                 12.82                   90.5                    1.133                   1.126                   47.54                   2.33                    0.07                    131.5                   1669.38                 
1669.75                 11.31                   90.5                    1.131                   1.152                   45.27                   2.33                    0.07                    131.6                   1669.63                 
1670.00                 10.76                   90.5                    1.129                   1.139                   43.00                   2.34                    0.06                    131.7                   1669.88                 
1670.25                 11.06                   83.0                    1.120                   1.132                   40.72                   2.35                    0.06                    131.7                   1670.13                 
1670.50                 11.44                   75.4                    1.111                   1.126                   39.81                   2.34                    0.06                    131.7                   1670.38                 
1670.75                 11.52                   83.4                    1.101                   1.095                   38.90                   2.34                    0.06                    131.7                   1670.63                 
1671.00                 11.61                   91.5                    1.091                   1.063                   38.00                   2.33                    0.06                    131.7                   1670.88                 
1671.25                 11.89                   89.8                    1.086                   1.057                   42.16                   2.33                    0.06                    131.7                   1671.13                 
1671.50                 12.67                   88.2                    1.080                   1.051                   46.33                   2.33                    0.06                    131.7                   1671.38                 
1671.75                 13.36                   85.3                    1.079                   1.057                   48.00                   2.34                    0.06                    131.7                   1671.63                 
1672.00                 12.67                   82.5                    1.078                   1.063                   49.67                   2.34                    0.07                    131.7                   1671.88                 
1672.25                 11.99                   87.7                    1.077                   1.057                   51.34                   2.35                    0.07                    131.7                   1672.12                 
1672.50                 11.45                   92.9                    1.077                   1.051                   53.01                   2.34                    0.07                    131.7                   1672.37                 
1672.75                 11.67                   96.9                    1.065                   1.063                   50.18                   2.34                    0.07                    131.7                   1672.62                 
1673.00                 10.33                   100.9                   1.073                   1.051                   47.34                   2.33                    0.07                    131.7                   1672.87                 
1673.25                 9.61                    93.8                    1.081                   1.039                   44.51                   2.33                    0.07                    131.7                   1673.12                 
